,CH4_column_volume_mixing_ratio_dry_air,CO_column_number_density,Location,SO2_column_number_density,absorbing_aerosol_index,tropospheric_HCHO_column_number_density,traffic,impervious,nighttime_lights,percent_tree_cover,pm25,precip,COM,IND,RES
0,,0.03379464596799691,TFWFD1,0.00012446536378742275,-0.9317126947653235,7.012042954880186e-05,37794.05766389453,48.59322334912755,149.0743582305676,11.419483844005475,5.61024282948347,1038.9638233556116,0.1626528199784834,0.007568913872412657,0.6830552905179111
1,,0.03391256935920012,SEAI1S8D_OUT,0.0002782465344737996,-0.9835335480313756,7.932712459662313e-05,48020.457700126426,45.496775833272814,163.13906657392272,27.485095490523566,6.326629253173396,918.759748456904,0.41078101224774827,0.05815094747520092,0.3377488421595278
2,,0.03381756489917944,TAC001S8D_OF2,0.00011286820137327762,-0.9576393876941222,7.318627333707442e-05,27825.23262821978,73.74017336387601,269.22232491144933,5.017778622593166,6.3664905145870065,997.3633127086181,0.44450770044731414,0.016786423042275258,0.13969172686390888
3,,0.033923298713179374,TAC003S8D_OF2,0.00013610148588000582,-0.9333232282209948,6.967507763794043e-05,53039.29674307348,69.04467137773563,221.3571057203246,8.032578162683132,6.254092860327912,994.0507400782942,0.28530274351774737,0.05846826613567062,0.2357984248938866
4,1837.4193115234373,0.033370873065541075,PIEHIRES_OUT,0.0002690684143812188,-0.9895247839812985,7.471936508398922e-05,4170.059334533392,27.056821269529806,92.24112048025685,25.425128311570717,4.8348423529160796,1087.7480725337946,0.04626557496432139,0.0,0.7003807133608316
5,,0.03340706929829875,PIELORES_OUT,0.00039233652577036265,-1.175528523627537,5.6313433793456486e-05,1433.4544419866759,5.458975944342039,30.855257293891242,64.16458739028185,5.246020660088919,1146.5532516454025,0.0,0.0,0.5338483400450003
6,,0.03323051412267545,SNO_COM,5.884880662425009e-05,-0.9513145322125682,7.06408460618953e-05,15966.69620330719,69.41319876328227,97.32524108886719,9.31167892723029,5.1432553720195795,912.8850023099532,0.8393602917960271,0.0,0.1595943780260542
7,1827.5463705336033,0.03337168861050162,SNO_LDR,0.0001067442505800831,-0.9799220402801113,6.656579611230666e-05,3716.912810707456,20.894226187542124,29.587408104421733,17.61541052562396,4.638376661053767,1113.3424017843952,0.23128409994997431,0.0,0.7610032207721915
8,,0.03353592155662314,SEAC1S8D_OUT,0.00017535061910035587,-1.0025093120990185,6.45751975172547e-05,60158.9430680959,78.30270691840254,197.4707088975355,7.397764273876449,6.653534672387581,895.2907319403598,0.6687609711976915,0.0,0.22802438110048154
9,,0.03356599808191729,POSOUTFALL_60,4.4730373888960625e-05,-1.1553332692122082,7.055564064110682e-05,973.4207188160674,44.77539375236542,109.17090895104508,3.5746018806952162,6.796154271428722,925.6334088328616,0.0,0.0,0.0
10,,0.03349891323546387,SEAR1S8D_OUT,0.00022477910239599897,-1.0777128910955298,6.199524924597749e-05,17695.973596943746,50.42589005686713,138.72514780394593,19.558200930553184,6.391294778379799,954.4267528519654,0.11916989911204941,0.0,0.8808301008879511
11,,0.03378385622623062,POT564S8D_OUT,0.00026302368442017134,-0.9924128114988073,7.014719789946472e-05,1165.4763265746335,72.02572519629571,283.79131480735305,2.398554202105392,6.700186660977011,979.0869554008136,0.0013626344781264318,0.9974793192231821,0.0
12,,0.03369051415363491,PIECOMM_OUT,0.00028544590586335167,-0.9767202076088825,7.455739091556866e-05,39153.17164179105,75.00245037980885,79.71522063722915,9.481842685616268,5.526277812839981,1082.4417750551336,0.7630793855957674,0.0,0.006364975351689311
13,1833.4758586496546,0.03349410271279508,SNO_HDR,0.00019916055737469063,-0.9621615549922917,6.337176694845243e-05,1040.3469345263518,41.696201438848924,74.51181966570302,28.90074820143885,4.900000095367432,1010.0392391366888,0.0,0.0,0.997475222727628
14,1813.4274495442708,0.032869311392561495,KICCOMS8D_OUT,0.00016470442232568321,-0.9943378608523259,7.80288648848389e-05,8157.480071040674,65.56010649191069,21.633319854736328,8.983309440917468,4.800000190734863,1256.36,0.3831951026856243,0.0,0.22000888625592432
15,,0.03373224411610242,KICLDRS8D_OUT,9.084739780241233e-05,-0.9917951797641031,7.037486093847711e-05,10501.0,23.33699413269144,86.73074340820312,21.66646607492102,4.800000190734863,1135.92,0.1046638186716008,0.0,0.8953361813283993
16,1813.4274495442708,0.032869311392561495,KICHDRS8D_OUT,0.00016470442232568321,-0.9943378608523259,8.102081496847403e-05,2264.7716104039846,34.5245245245245,21.633319854736328,17.459998459998456,4.813698491369446,1256.36,0.0,0.0,0.9672058758592268
