Parameter ID (tdsUSEPAParameterCodes.txt),S Adt,S Avg Annual Precip,S EMC Value,Site ID,T Data Qualifier,T EMC Qual,T Parameter Name,T Pcode,NonDetectFlag
348,81900,38.9,238,121,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,81900,38.9,102,121,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,81900,38.9,89.9,121,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,81900,38.9,84.3,121,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,81900,38.9,73.1,121,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,81900,38.9,64.6,121,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,81900,38.9,51.3,121,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,81900,38.9,38.5,121,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,39693,44.3,371,120,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,39693,44.3,228,120,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,39693,44.3,207,120,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,39693,44.3,167,120,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,39693,44.3,165,120,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,39693,44.3,139,120,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,39693,44.3,128,120,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,39693,44.3,76,120,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,39693,44.3,72,120,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,39693,44.3,55,120,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,3000,38.9,249,119,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,3000,38.9,202,119,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,3000,38.9,187,119,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,3000,38.9,91.4,119,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,3000,38.9,26.7,119,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,3000,38.9,25.4,119,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,3000,38.9,21.2,119,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,3000,38.9,17.1,119,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,3000,38.9,14.6,119,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
