grid,hru000,hru010,hru020,hru100,hru110,hru120,hru200,hru210,hru220,hru250,hru001,hru011,hru021,hru101,hru111,hru121,hru201,hru211,hru221,hru251,hru002,hru012,hru022,hru102,hru112,hru122,hru202,hru212,hru222,hru252,year
ID16_V7,0.10193717846852213,0.14703514174046717,0.2655393209965644,30.313198056715876,48.787697750160994,113.8470218236683,0.8605990763220139,0.918301430890071,1.3609204772084194,578.82500016853,0.10199625097927532,0.147185281661379,0.2667435663950033,30.33269915827255,48.82397654043227,113.9408184108982,0.86495688383594,0.9235760719682202,1.3745638031232439,599.8663354504242,0.10203894935355427,0.14729908910408082,0.26767538705233873,39.28957098481457,55.921363097581526,131.34970127570256,0.8783095712765503,0.9396068205360015,1.41527977810903,641.3769730830973,1970
ID15_V5,0.10139956813242912,0.1355680243859865,0.2906546845505742,46.23914595253788,67.44865182378136,133.13228891752397,1.261492467286347,1.3432831367110594,1.733303077752047,594.2342938047223,0.10157263118598103,0.13597912200027532,0.29242077376053704,46.26944749103216,67.50132125546446,133.22927928077024,1.272399777455715,1.3558772859760757,1.7624711508639332,614.6824480826908,0.10170144684934733,0.1362865282227792,0.2937464809822361,55.55874541571134,75.82160518324933,146.10749228058447,1.303379754117338,1.3914845863631107,1.8428434109606868,652.7576807040314,1970
ID17_V12,0.07251037759138823,0.12785325886352975,0.2942650033410663,8.548827628463798,26.561854040950312,113.70260465720176,0.5429614058965284,0.6520932072581977,1.3202749260292626,635.3905316263044,0.07252646631411919,0.1279585511755661,0.295268663946755,8.552094547335887,26.575431338650542,113.79581684678745,0.5439339680009652,0.6534605851645174,1.3256754002716908,656.5868766588683,0.07253869077101482,0.12803926300927793,0.29602852516792977,12.963801427037613,36.7344148212732,132.46924689369484,0.5468222732024457,0.6574855671829034,1.3415688348947228,694.0485746494378,1970
ID15_V5,0.10475387462430288,0.14540855805033373,0.24338556235719033,43.0777618399791,58.37875828340591,109.5673001438795,7.163027731395389,8.219907646126817,16.26263933766066,449.7239448943219,0.10483000136453491,0.14557603009097478,0.24447946457614253,43.085198472076996,58.390591775809945,109.62417117181867,7.289589848649467,8.36995984118801,17.231660308399587,461.8382004459272,0.10489108774681212,0.14569824042493984,0.2453278939808097,48.25201898697921,64.95578866366453,122.50197826542001,7.61270683726036,8.770967112458694,19.121340372921182,484.9902817429392,1971
ID16_V7,0.09797989485984603,0.14067464633557258,0.2795380255112838,33.14629435495634,47.89029034879358,104.67203366538938,1.4802482068399951,1.5861368406907888,7.569640311349445,471.29897442433867,0.09806502371810867,0.14084889799914468,0.28051477807642544,33.15612938417122,47.90556157989231,104.72590994234655,1.491904246893829,1.5985675500175742,7.701826361526316,485.22649962088326,0.09813120911081019,0.14098811616676077,0.28126990931343276,38.354356478461646,56.174928617520656,119.32689924848063,1.5270495300084304,1.635779730710449,8.043939005679949,511.50750400717516,1971
ID17_V12,0.12098796396525759,0.19202842875791593,0.36918850598857933,28.68654524049204,56.161962105622116,156.69409240997433,1.464633777878644,1.6084886547612025,3.338791118964802,573.5189053676513,0.1210039501335214,0.19206133983672347,0.3701097700573639,28.696199294507913,56.18416532063483,156.77475793443622,1.4694538800252523,1.613936499965214,3.372008354129916,590.5225006064866,0.12101607855485887,0.19208843419257746,0.3708145773264331,38.94819196726533,69.19146064714602,174.07536449974475,1.4834719200114161,1.6302035617772659,3.4703660323198204,623.4588384854578,1971
ID16_V7,0.1468732052387327,0.21078691341886338,0.37835680549672995,54.45106552025048,84.252384915442,171.83728123843804,2.4570178854828613,2.6384158011718646,12.337861875059586,589.7062330100889,0.1469245695372201,0.21091513066891257,0.3795426004393674,54.46754776783415,84.28501324883722,171.93603942792006,2.4726460539598,2.656627526133064,12.783806860222558,609.7707972293429,0.14696423657816274,0.2110155857615894,0.38044239646652583,65.07650956959692,96.43985025957751,188.08189807724847,2.5199283706805335,2.711459099417991,13.713577329703845,650.2942816789146,1972
ID15_V5,0.19339804360120638,0.26065503206706464,0.37679391438159904,71.09140818337526,110.94111934180152,208.94783480949843,5.167102705816983,6.708052822666985,17.610509692517795,622.5747620117763,0.19341640674801397,0.26072421157007786,0.3783980845535426,71.11462540303282,110.99020474069806,209.0505415113374,5.229711845547061,6.792914370371949,18.530561693499937,639.5090065857657,0.19342548027549,0.2607869571171084,0.3796419722673692,88.91994308055085,125.73183037197269,226.99529069968133,5.404287672607,7.0318012676285955,20.319774577294982,673.2853627314471,1972
ID17_V12,0.26873420646350143,0.3584476167492941,0.6200274025699626,106.46468027400473,154.62393287958258,297.0945002007965,24.800822530502135,27.538900209690656,42.27875613851539,791.2531529532571,0.26877695701137827,0.3587232096958204,0.6229288453437656,106.5047456428176,154.6872953303367,297.23001985441795,26.850697220906532,29.764629617264497,48.384636087843845,813.032734931403,0.2688088700965022,0.3589106234173649,0.6251424929620741,121.63626480451035,170.23376267531978,322.9579075274354,29.769827669921934,33.12560178921397,56.18206825324613,851.650331672703,1972
ID16_V7,0.1139027082984916,0.17177081716127532,0.35509385299399104,26.61627879753483,52.91579632645048,148.55402585890735,1.0245992075545707,1.1532446758382615,1.9346340931635035,594.1078099231017,0.1139027082984916,0.17177081716127532,0.35535356491468045,26.62319469802021,52.933375510961845,148.61109869758835,1.0270428975151642,1.1564988999789654,1.9436242213883512,610.6855361615744,0.1139027082984916,0.17177081716127532,0.3555361073881471,36.45592603209633,63.046353643919815,162.1307925417195,1.0345328025456344,1.1664673870491293,1.9710445609144749,643.1752788431186,1973
