SITE_ID,YEAR,WEEK,DATEON,DATEOFF,SO2_CONC,SO4_CONC,NO3_CONC,HNO3_CONC,TNO3_CONC,NH4_CONC,CA_CONC,NA_CONC,MG_CONC,K_CONC,CL_CONC
MOR409,2011,51,2011/12/20,2011/12/27,0.095,0.172,0.062,0.049,0.111,0.048,0.009,0.091,0.012,0.018,0.129
MOR409,2011,52,2011/12/27,2012/01/03,,,,,,,,,,,
MOR409,2012,49,2012/12/04,2012/12/11,0.078,0.176,0.059,0.031,0.089,0.056,0.011,0.15,0.019,0.028,0.246
MOR409,2012,50,2012/12/11,2012/12/18,0.089,0.107,0.033,0.036,0.068,0.042,0.007,0.067,0.009,0.013,0.098
MOR409,2012,51,2012/12/18,2012/12/25,0.073,0.055,0.027,0.028,0.054,0.032,0.005,0.026,0.003,0.01,0.036
MOR409,2012,52,2012/12/25,2013/01/01,0.07,0.071,0.036,0.031,0.066,0.041,0.005,0.018,0.003,0.015,0.024
MOR409,2009,2,2009/01/06,2009/01/13,,,,,,,,,,,
MOR409,2009,3,2009/01/13,2009/01/20,0.095,0.114,0.035,0.045,0.079,0.056,0.006,0.007,0.003,0.02,0.02
MOR409,2009,4,2009/01/20,2009/01/27,0.162,0.245,0.146,0.109,0.254,0.148,0.013,0.015,0.005,0.046,0.035
MOR409,2009,5,2009/01/27,2009/02/03,0.121,0.283,0.087,0.048,0.134,0.083,0.024,0.131,0.018,0.031,0.168
MOR409,2010,2,2010/01/05,2010/01/12,0.094,0.139,0.039,0.04,0.078,0.055,0.007,0.008,0.003,0.017,0.022
MOR409,2010,3,2010/01/12,2010/01/19,0.589,0.297,0.261,0.265,0.521,0.19,0.044,0.071,0.022,0.044,0.147
MOR409,2010,4,2010/01/19,2010/01/26,0.08,0.126,0.058,0.041,0.098,0.032,0.01,0.059,0.006,0.013,0.058
MOR409,2010,5,2010/01/26,2010/02/02,0.267,0.244,0.206,0.12,0.324,0.086,0.02,0.091,0.012,0.02,0.083
MOR409,2011,1,2011/01/04,2011/01/11,0.155,0.145,0.064,0.065,0.127,0.066,0.011,0.019,0.005,0.014,0.036
MOR409,2011,2,2011/01/11,2011/01/18,0.207,0.106,0.092,0.093,0.183,0.067,0.016,0.02,0.008,0.016,0.052
MOR409,2011,3,2011/01/18,2011/01/25,0.206,0.215,0.123,0.116,0.237,0.085,0.016,0.031,0.008,0.018,0.052
MOR409,2011,4,2011/01/25,2011/02/01,0.125,0.215,0.119,0.095,0.213,0.114,0.009,0.025,0.005,0.037,0.031
MOR409,2012,1,2012/01/03,2012/01/10,0.073,0.206,0.072,0.033,0.104,0.044,0.011,0.175,0.021,0.021,0.269
MOR409,2012,2,2012/01/10,2012/01/17,0.103,0.162,0.069,0.056,0.124,0.06,0.009,0.082,0.01,0.031,0.121
MOR409,2012,3,2012/01/17,2012/01/24,0.136,0.079,0.077,0.085,0.16,0.045,0.01,0.093,0.011,0.015,0.151
MOR409,2012,4,2012/01/24,2012/01/31,0.08,0.248,0.07,0.037,0.106,0.047,0.016,0.197,0.024,0.018,0.299
MOR409,2012,5,2012/01/31,2012/02/07,0.129,0.303,0.059,0.077,0.136,0.109,0.014,0.056,0.008,0.015,0.067
MOR409,2013,1,2013/01/01,2013/01/08,0.086,0.108,0.039,0.038,0.076,0.053,0.007,0.021,0.003,0.014,0.027
MOR409,2013,2,2013/01/08,2013/01/15,0.113,0.187,0.074,0.077,0.15,0.09,0.007,0.029,0.004,0.02,0.022
MOR409,2013,3,2013/01/15,2013/01/22,0.083,0.123,0.042,0.052,0.093,0.071,0.015,0.009,0.003,0.027,0.021
MOR409,2013,4,2013/01/22,2013/01/29,0.176,0.109,0.078,0.079,0.156,0.098,0.013,0.013,0.007,0.018,0.044
MOR409,2013,5,2013/01/29,2013/02/05,0.093,0.127,0.041,0.042,0.082,0.08,0.011,0.013,0.004,0.019,0.023
MOR409,2009,6,2009/02/03,2009/02/10,0.153,0.263,0.118,0.117,0.234,0.117,0.02,0.038,0.007,0.028,0.037
MOR409,2009,7,2009/02/10,2009/02/17,0.071,0.25,0.119,0.069,0.187,0.095,0.013,0.075,0.008,0.028,0.057
MOR409,2009,8,2009/02/17,2009/02/24,0.087,0.199,0.059,0.126,0.183,0.088,0.022,0.039,0.006,0.028,0.031
MOR409,2009,9,2009/02/24,2009/03/03,0.105,0.212,0.07,0.038,0.107,0.071,0.016,0.061,0.009,0.021,0.048
MOR409,2010,6,2010/02/02,2010/02/09,0.122,0.147,0.056,0.055,0.109,0.052,0.009,0.043,0.005,0.02,0.048
MOR409,2010,7,2010/02/09,2010/02/16,0.183,0.221,0.081,0.082,0.162,0.09,0.016,0.033,0.007,0.061,0.046
MOR409,2010,8,2010/02/16,2010/02/23,0.127,0.409,0.103,0.068,0.17,0.146,0.061,0.044,0.016,0.04,0.021
MOR409,2010,9,2010/02/23,2010/03/02,0.248,0.234,0.111,0.112,0.221,0.099,0.026,0.034,0.01,0.058,0.062
MOR409,2011,5,2011/02/01,2011/02/08,0.246,0.258,0.111,0.112,0.221,0.089,0.018,0.273,0.032,0.036,0.469
MOR409,2011,6,2011/02/08,2011/02/15,0.164,0.317,0.139,0.113,0.251,0.124,0.014,0.102,0.013,0.023,0.064
MOR409,2011,7,2011/02/15,2011/02/22,0.312,0.187,0.115,0.116,0.23,0.084,0.019,0.104,0.013,0.066,0.127
MOR409,2011,8,2011/02/22,2011/03/01,0.246,0.42,0.085,0.081,0.165,0.133,0.017,0.205,0.024,0.016,0.297
MOR409,2012,6,2012/02/07,2012/02/14,0.077,0.225,0.087,0.055,0.142,0.094,0.013,0.062,0.009,0.017,0.071
MOR409,2012,7,2012/02/14,2012/02/21,0.108,0.115,0.05,0.045,0.095,0.046,0.008,0.058,0.008,0.012,0.082
MOR409,2012,8,2012/02/21,2012/02/28,0.362,0.25,0.213,0.133,0.344,0.095,0.022,0.309,0.035,0.028,0.516
MOR409,2012,9,2012/02/28,2012/03/06,0.193,0.276,0.095,0.072,0.166,0.094,0.026,0.151,0.02,0.016,0.247
MOR409,2013,6,2013/02/05,2013/02/12,0.096,0.422,0.368,0.16,0.525,0.214,0.019,0.101,0.012,0.026,0.046
MOR409,2013,7,2013/02/12,2013/02/19,0.073,0.158,0.086,0.036,0.121,0.052,0.01,0.13,0.016,0.017,0.179
MOR409,2013,8,2013/02/19,2013/02/26,0.091,0.276,0.093,0.056,0.148,0.062,0.023,0.32,0.041,0.022,0.536
MOR409,2013,9,2013/02/26,2013/03/05,0.113,0.219,0.089,0.033,0.122,0.064,0.014,0.09,0.013,0.017,0.112
