SITE_ID,YEAR,WEEK,DATEON,DATEOFF,SO2_CONC,SO4_CONC,NO3_CONC,HNO3_CONC,TNO3_CONC,NH4_CONC,CA_CONC,NA_CONC,MG_CONC,K_CONC,CL_CONC
MOR409,2009,20,2009/05/12,2009/05/19,0.131,0.653,0.222,0.144,0.364,0.2,0.043,0.114,0.022,0.049,0.035
MOR409,2009,21,2009/05/19,2009/05/26,0.25,1.076,0.197,0.515,0.703,0.244,0.046,0.193,0.029,0.051,0.017
MOR409,2009,22,2009/05/26,2009/06/02,0.365,0.937,0.175,0.555,0.721,0.264,0.064,0.094,0.021,0.044,0.016
MOR409,2010,19,2010/05/04,2010/05/11,0.206,0.548,0.158,0.102,0.258,0.198,0.015,0.063,0.01,0.029,0.042
MOR409,2010,20,2010/05/11,2010/05/18,0.225,1.197,0.542,0.406,0.942,0.295,0.055,0.312,0.046,0.052,0.026
MOR409,2010,21,2010/05/18,2010/05/25,0.302,0.316,0.124,0.125,0.247,0.143,0.022,0.127,0.017,0.155,0.17
MOR409,2010,22,2010/05/25,2010/06/01,0.224,0.231,0.099,0.1,0.198,0.109,0.017,0.024,0.009,0.101,0.06
MOR409,2011,18,2011/05/03,2011/05/10,0.081,0.508,0.193,0.078,0.269,0.13,0.016,0.127,0.017,0.027,0.055
MOR409,2011,19,2011/05/10,2011/05/17,0.194,0.758,0.149,0.294,0.438,0.199,0.033,0.139,0.021,0.044,0.027
MOR409,2011,20,2011/05/17,2011/05/24,0.181,0.813,0.251,0.377,0.622,0.219,0.037,0.178,0.027,0.046,0.018
MOR409,2011,21,2011/05/24,2011/05/31,0.089,0.442,0.15,0.083,0.231,0.132,0.012,0.097,0.013,0.033,0.048
MOR409,2011,22,2011/05/31,2011/06/07,0.178,0.517,0.181,0.177,0.355,0.174,0.02,0.152,0.021,0.049,0.1
MOR409,2012,18,2012/05/01,2012/05/08,0.108,0.582,0.107,0.097,0.202,0.197,0.037,0.039,0.012,0.035,0.021
MOR409,2012,19,2012/05/08,2012/05/15,0.255,0.984,0.396,0.284,0.676,0.212,0.096,0.342,0.055,0.055,0.159
MOR409,2012,20,2012/05/15,2012/05/22,0.141,0.81,0.418,0.188,0.604,0.159,0.058,0.597,0.078,0.051,0.562
MOR409,2012,21,2012/05/22,2012/05/29,0.11,0.517,0.14,0.119,0.257,0.155,0.014,0.127,0.017,0.037,0.032
MOR409,2012,22,2012/05/29,2012/06/05,0.07,0.598,0.171,0.083,0.252,0.225,0.013,0.093,0.014,0.046,0.063
MOR409,2013,19,2013/05/07,2013/05/14,0.139,1.087,0.082,0.487,0.561,0.216,0.063,0.193,0.033,0.049,0.017
MOR409,2013,20,2013/05/14,2013/05/21,0.075,0.531,0.157,0.096,0.251,0.152,0.019,0.124,0.018,0.051,0.05
MOR409,2013,21,2013/05/21,2013/05/28,0.079,0.2,0.062,0.044,0.105,0.08,0.01,0.022,0.005,0.033,0.019
MOR409,2013,22,2013/05/28,2013/06/04,0.132,0.414,0.178,0.124,0.3,0.112,0.018,0.113,0.016,0.046,0.016
MOR409,2009,23,2009/06/02,2009/06/09,0.156,0.962,0.109,0.376,0.479,0.302,0.07,0.094,0.022,0.037,0.016
MOR409,2009,24,2009/06/09,2009/06/16,0.187,1.491,0.083,0.455,0.531,0.488,0.047,0.127,0.025,0.057,0.028
MOR409,2009,25,2009/06/16,2009/06/23,0.08,0.713,0.141,0.108,0.247,0.19,0.02,0.209,0.029,0.046,0.152
MOR409,2009,26,2009/06/23,2009/06/30,0.235,0.995,0.382,0.352,0.728,0.217,0.04,0.295,0.04,0.038,0.034
MOR409,2009,27,2009/06/30,2009/07/07,0.363,1.276,0.305,0.691,0.985,0.3,0.061,0.235,0.046,0.134,0.029
MOR409,2010,23,2010/06/01,2010/06/08,0.094,0.351,0.134,0.048,0.181,0.097,0.014,0.095,0.014,0.041,0.052
MOR409,2010,24,2010/06/08,2010/06/15,0.226,0.515,0.261,0.089,0.348,0.148,0.022,0.272,0.034,0.051,0.287
MOR409,2010,25,2010/06/15,2010/06/22,0.097,0.471,0.153,0.083,0.235,0.136,0.012,0.113,0.016,0.048,0.021
MOR409,2010,26,2010/06/22,2010/06/29,0.136,0.695,0.077,0.206,0.28,0.214,0.024,0.084,0.015,0.039,0.045
MOR409,2010,27,2010/06/29,2010/07/06,0.076,0.881,0.2,0.115,0.314,0.206,0.023,0.196,0.03,0.063,0.055
MOR409,2011,23,2011/06/07,2011/06/14,0.076,0.718,0.15,0.083,0.231,0.213,0.017,0.164,0.022,0.056,0.06
